songid,week,total_weeks,cum_week,performer,song,genre,trackid,url,album,explicit,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Someone You LovedLewis Capaldi,20,32,1,Lewis Capaldi,Someone You Loved,"['pop', 'uk pop']",7qEHsqek33rTcFNT9PFqLf,,Divinely Uninspired To A Hellish Extent,FALSE,182160,96,0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
TrampolineSHAED,23,29,1,SHAED,Trampoline,"['electropop', 'pop']",1iQDltZqI7BXnHrFy4Qo1k,,Trampoline (with ZAYN),FALSE,184280,92,0.619,0.459,7,-5.782,0,0.0334,0.56,0,0.137,0.498,126.803,4
Bad GuyBillie Eilish,14,38,1,Billie Eilish,Bad Guy,"['electropop', 'pop']",2Fxmhks0bxGSBdJ92vM42m,,WHEN WE ALL FALL ASLEE,FALSE,194087,96,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
Dancing With A StrangerSam Smith & Normani,3,45,1,Sam Smith & Normani,Dancing With A Stranger,"['pop', 'uk pop']",6Qs4SXO9dwPj5GKvVOv8Ki,,Dancing With A Stranger (with Normani),FALSE,171029,89,0.741,0.52,8,-7.513,1,0.0656,0.45,1.97E-06,0.222,0.347,102.998,4
Without MeHalsey,0,41,1,Halsey,Without Me,"['dance pop', 'electropop', 'etherpop', 'indie poptimism', 'pop', 'post-teen pop']",5p7ujcrUXASCNwRaWNHR1C,,Without Me,TRUE,201660,90,0.752,0.488,6,-7.05,1,0.0705,0.297,9.11E-06,0.0936,0.533,136.041,4
SenoritaShawn Mendes & Camila Cabello,26,26,1,Shawn Mendes & Camila Cabello,Senorita,"['canadian pop', 'pop', 'post-teen pop', 'viral pop']",0TK2YIli7K1leLovkQiNik,,Se±orita,FALSE,190960,94,0.759,0.54,9,-6.039,0,0.0287,0.037,0,0.0945,0.75,116.947,4
Wow.Post Malone,0,44,1,Post Malone,Wow.,"['dfw rap', 'melodic rap', 'rap']",7xQAfvXzm3AkraOtGPWIZg,,Hollywood's Bleeding,TRUE,149546,90,0.829,0.539,11,-7.359,0,0.208,0.136,1.78E-06,0.103,0.388,99.96,4
LalalaY2K & bbno$,27,21,1,Y2K & bbno$,Lalala,['pop rap'],51Fjme0JiitpyXKuyQiCDo,https://p.scdn.co/mp3-preview/3fa108534da58a2782b9c60b1c3a2d0aa18fb451?cid=b8d3901151d34489a160e3cf0ab1fa94,Lalala,TRUE,160626,92,0.843,0.391,2,-7.899,1,0.0845,0.181,0,0.137,0.496,129.972,4
Old Town RoadLil Nas X Featuring Billy Ray Cyrus,10,42,1,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,"['country rap', 'lgbtq+ hip hop', 'pop rap']",2YpeDb67231RjR0MgVLzsG,https://p.scdn.co/mp3-preview/d94ec2ebe62fd52cf038760f57c251c145346bb2?cid=b8d3901151d34489a160e3cf0ab1fa94,7 EP,FALSE,157066,91,0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
TalkKhalid,7,43,1,Khalid,Talk,"['alternative r&b', 'pop']",6TqXcAFInzjp0bODyvrWEq,https://p.scdn.co/mp3-preview/2fb54a9c23ec3124319df5739aa081bf9183fa8b?cid=b8d3901151d34489a160e3cf0ab1fa94,Free Spirit,FALSE,197573,84,0.901,0.4,0,-8.575,1,0.126,0.051,0,0.0599,0.346,135.984,4