,subject_race,outcome,reason_for_stop,year,count
482,hispanic,citation,SUSPECT VEHICLE,2015,1
483,hispanic,citation,SUSPECT VEHICLE,2016,1
484,hispanic,citation,SUSPECT VEHICLE,2018,1
485,hispanic,citation,TRAFFIC VIOLATION,2011,485
486,hispanic,citation,TRAFFIC VIOLATION,2012,557
487,hispanic,citation,TRAFFIC VIOLATION,2013,336
488,hispanic,citation,TRAFFIC VIOLATION,2014,619
489,hispanic,citation,TRAFFIC VIOLATION,2015,816
490,hispanic,citation,TRAFFIC VIOLATION,2016,507
491,hispanic,citation,TRAFFIC VIOLATION,2017,543
492,hispanic,citation,TRAFFIC VIOLATION,2018,256
493,hispanic,warning,CALL FOR SERVICE,2011,14
494,hispanic,warning,CALL FOR SERVICE,2012,11
495,hispanic,warning,CALL FOR SERVICE,2013,6
496,hispanic,warning,CALL FOR SERVICE,2014,23
497,hispanic,warning,CALL FOR SERVICE,2015,37
498,hispanic,warning,CALL FOR SERVICE,2016,12
499,hispanic,warning,CALL FOR SERVICE,2017,10
500,hispanic,warning,CALL FOR SERVICE,2018,18
501,hispanic,warning,CITIZEN CONTACT,2011,6
502,hispanic,warning,CITIZEN CONTACT,2012,3
503,hispanic,warning,CITIZEN CONTACT,2013,2
504,hispanic,warning,CITIZEN CONTACT,2014,3
505,hispanic,warning,CITIZEN CONTACT,2015,5
506,hispanic,warning,CITIZEN CONTACT,2016,4
507,hispanic,warning,CITIZEN CONTACT,2017,2
508,hispanic,warning,CITIZEN CONTACT,2018,3
509,hispanic,warning,CRIMINAL VIOLATION,2011,8
510,hispanic,warning,CRIMINAL VIOLATION,2012,9
511,hispanic,warning,CRIMINAL VIOLATION,2013,6
512,hispanic,warning,CRIMINAL VIOLATION,2014,12
513,hispanic,warning,CRIMINAL VIOLATION,2015,9
514,hispanic,warning,CRIMINAL VIOLATION,2016,7
515,hispanic,warning,CRIMINAL VIOLATION,2017,5
516,hispanic,warning,CRIMINAL VIOLATION,2018,5
517,hispanic,warning,FLAGGED DOWN,2011,4
518,hispanic,warning,FLAGGED DOWN,2012,3
519,hispanic,warning,FLAGGED DOWN,2013,3
520,hispanic,warning,FLAGGED DOWN,2014,4
521,hispanic,warning,FLAGGED DOWN,2015,8
522,hispanic,warning,FLAGGED DOWN,2016,1
523,hispanic,warning,FLAGGED DOWN,2017,3
524,hispanic,warning,FLAGGED DOWN,2018,5
525,hispanic,warning,OTHER,2011,7
526,hispanic,warning,OTHER,2012,10
527,hispanic,warning,OTHER,2013,2
528,hispanic,warning,OTHER,2014,8
529,hispanic,warning,OTHER,2015,17
530,hispanic,warning,OTHER,2016,7
531,hispanic,warning,OTHER,2017,7
532,hispanic,warning,OTHER,2018,2
533,hispanic,warning,PRESENT AT CRIME SCENE,2016,2
534,hispanic,warning,SUSPECT PERSON,2011,19
535,hispanic,warning,SUSPECT PERSON,2012,27
536,hispanic,warning,SUSPECT PERSON,2013,9
537,hispanic,warning,SUSPECT PERSON,2014,23
538,hispanic,warning,SUSPECT PERSON,2015,23
539,hispanic,warning,SUSPECT PERSON,2016,17
540,hispanic,warning,SUSPECT PERSON,2017,19
541,hispanic,warning,SUSPECT PERSON,2018,2
542,hispanic,warning,SUSPECT VEHICLE,2011,6
543,hispanic,warning,SUSPECT VEHICLE,2012,3
544,hispanic,warning,SUSPECT VEHICLE,2013,1
545,hispanic,warning,SUSPECT VEHICLE,2014,1
546,hispanic,warning,SUSPECT VEHICLE,2015,5
547,hispanic,warning,SUSPECT VEHICLE,2016,3
548,hispanic,warning,SUSPECT VEHICLE,2017,2
549,hispanic,warning,SUSPECT VEHICLE,2018,4
550,hispanic,warning,TRAFFIC VIOLATION,2011,226
551,hispanic,warning,TRAFFIC VIOLATION,2012,242
552,hispanic,warning,TRAFFIC VIOLATION,2013,118
553,hispanic,warning,TRAFFIC VIOLATION,2014,304
554,hispanic,warning,TRAFFIC VIOLATION,2015,496
555,hispanic,warning,TRAFFIC VIOLATION,2016,368
556,hispanic,warning,TRAFFIC VIOLATION,2017,475
557,hispanic,warning,TRAFFIC VIOLATION,2018,294
558,other,arrest,CALL FOR SERVICE,2011,1
559,other,arrest,CALL FOR SERVICE,2013,1
560,other,arrest,CALL FOR SERVICE,2014,3
561,other,arrest,CALL FOR SERVICE,2016,2
562,other,arrest,CALL FOR SERVICE,2017,6
563,other,arrest,CITIZEN CONTACT,2017,2
564,other,arrest,CRIMINAL VIOLATION,2012,1
565,other,arrest,CRIMINAL VIOLATION,2013,1
566,other,arrest,CRIMINAL VIOLATION,2014,1
567,other,arrest,CRIMINAL VIOLATION,2015,2
568,other,arrest,CRIMINAL VIOLATION,2016,1
569,other,arrest,CRIMINAL VIOLATION,2018,1
570,other,arrest,OTHER,2011,1
571,other,arrest,OTHER,2012,2
572,other,arrest,PRESENT AT CRIME SCENE,2015,1
573,other,arrest,SUSPECT PERSON,2012,1
574,other,arrest,SUSPECT PERSON,2015,1
575,other,arrest,SUSPECT PERSON,2016,1
576,other,arrest,TRAFFIC VIOLATION,2011,2
577,other,arrest,TRAFFIC VIOLATION,2014,3
578,other,arrest,TRAFFIC VIOLATION,2015,1
579,other,arrest,TRAFFIC VIOLATION,2016,1
580,other,citation,CALL FOR SERVICE,2011,1
581,other,citation,CALL FOR SERVICE,2012,2
582,other,citation,CRIMINAL VIOLATION,2012,1
583,other,citation,CRIMINAL VIOLATION,2016,1
584,other,citation,CRIMINAL VIOLATION,2017,1
585,other,citation,OTHER,2011,1
586,other,citation,OTHER,2015,1
587,other,citation,SUSPECT PERSON,2012,1
588,other,citation,SUSPECT PERSON,2016,1
589,other,citation,TRAFFIC VIOLATION,2011,20
590,other,citation,TRAFFIC VIOLATION,2012,16
591,other,citation,TRAFFIC VIOLATION,2013,9
592,other,citation,TRAFFIC VIOLATION,2014,20
593,other,citation,TRAFFIC VIOLATION,2015,32
594,other,citation,TRAFFIC VIOLATION,2016,12
595,other,citation,TRAFFIC VIOLATION,2017,17
596,other,citation,TRAFFIC VIOLATION,2018,6
597,other,warning,CALL FOR SERVICE,2011,1
598,other,warning,CALL FOR SERVICE,2014,1
599,other,warning,CALL FOR SERVICE,2017,1
600,other,warning,CITIZEN CONTACT,2015,1
601,other,warning,CRIMINAL VIOLATION,2015,2
602,other,warning,OTHER,2012,1
603,other,warning,OTHER,2016,1
604,other,warning,OTHER,2017,1
605,other,warning,SUSPECT PERSON,2013,1
606,other,warning,SUSPECT PERSON,2015,1
607,other,warning,SUSPECT PERSON,2017,3
608,other,warning,TRAFFIC VIOLATION,2011,4
609,other,warning,TRAFFIC VIOLATION,2012,4
610,other,warning,TRAFFIC VIOLATION,2013,2
611,other,warning,TRAFFIC VIOLATION,2014,6
612,other,warning,TRAFFIC VIOLATION,2015,15
613,other,warning,TRAFFIC VIOLATION,2016,9
614,other,warning,TRAFFIC VIOLATION,2017,15
615,other,warning,TRAFFIC VIOLATION,2018,17
616,unknown,arrest,CALL FOR SERVICE,2011,1
617,unknown,arrest,CALL FOR SERVICE,2012,5
618,unknown,arrest,CALL FOR SERVICE,2013,10
619,unknown,arrest,CALL FOR SERVICE,2014,12
620,unknown,arrest,CALL FOR SERVICE,2015,13
621,unknown,arrest,CALL FOR SERVICE,2016,15
622,unknown,arrest,CALL FOR SERVICE,2017,16
623,unknown,arrest,CALL FOR SERVICE,2018,5
624,unknown,arrest,CITIZEN CONTACT,2012,1
625,unknown,arrest,CITIZEN CONTACT,2016,1
626,unknown,arrest,CITIZEN CONTACT,2017,1
627,unknown,arrest,CRIMINAL VIOLATION,2011,2
628,unknown,arrest,CRIMINAL VIOLATION,2012,5
629,unknown,arrest,CRIMINAL VIOLATION,2013,1
630,unknown,arrest,CRIMINAL VIOLATION,2014,7
631,unknown,arrest,CRIMINAL VIOLATION,2015,4
632,unknown,arrest,CRIMINAL VIOLATION,2016,7
633,unknown,arrest,CRIMINAL VIOLATION,2017,7
634,unknown,arrest,CRIMINAL VIOLATION,2018,4
635,unknown,arrest,FLAGGED DOWN,2016,2
636,unknown,arrest,FLAGGED DOWN,2017,1
637,unknown,arrest,OTHER,2015,5
638,unknown,arrest,OTHER,2016,3
639,unknown,arrest,OTHER,2017,3
640,unknown,arrest,PRESENT AT CRIME SCENE,2015,3
641,unknown,arrest,SUSPECT PERSON,2011,2
642,unknown,arrest,SUSPECT PERSON,2012,2
643,unknown,arrest,SUSPECT PERSON,2013,1
644,unknown,arrest,SUSPECT PERSON,2014,1
645,unknown,arrest,SUSPECT PERSON,2015,1
646,unknown,arrest,SUSPECT PERSON,2016,4
647,unknown,arrest,SUSPECT PERSON,2017,3
648,unknown,arrest,SUSPECT PERSON,2018,1
649,unknown,arrest,SUSPECT VEHICLE,2013,1
650,unknown,arrest,TRAFFIC VIOLATION,2011,6
651,unknown,arrest,TRAFFIC VIOLATION,2012,10
652,unknown,arrest,TRAFFIC VIOLATION,2013,17
653,unknown,arrest,TRAFFIC VIOLATION,2014,26
654,unknown,arrest,TRAFFIC VIOLATION,2015,15
655,unknown,arrest,TRAFFIC VIOLATION,2016,7
656,unknown,arrest,TRAFFIC VIOLATION,2017,16
657,unknown,arrest,TRAFFIC VIOLATION,2018,7
658,unknown,citation,CALL FOR SERVICE,2011,10
659,unknown,citation,CALL FOR SERVICE,2012,7
660,unknown,citation,CALL FOR SERVICE,2013,3
661,unknown,citation,CALL FOR SERVICE,2014,4
662,unknown,citation,CALL FOR SERVICE,2015,7
663,unknown,citation,CALL FOR SERVICE,2016,7
664,unknown,citation,CALL FOR SERVICE,2017,1
665,unknown,citation,CALL FOR SERVICE,2018,1
666,unknown,citation,CITIZEN CONTACT,2012,2
667,unknown,citation,CITIZEN CONTACT,2013,1
668,unknown,citation,CITIZEN CONTACT,2017,1
669,unknown,citation,CRIMINAL VIOLATION,2012,8
670,unknown,citation,CRIMINAL VIOLATION,2013,5
671,unknown,citation,CRIMINAL VIOLATION,2014,7
672,unknown,citation,CRIMINAL VIOLATION,2015,4
673,unknown,citation,FLAGGED DOWN,2017,1
674,unknown,citation,OTHER,2011,2
675,unknown,citation,OTHER,2014,3
676,unknown,citation,OTHER,2017,1
677,unknown,citation,SUSPECT PERSON,2011,2
678,unknown,citation,SUSPECT PERSON,2012,3
679,unknown,citation,SUSPECT PERSON,2015,3
680,unknown,citation,SUSPECT PERSON,2016,3
681,unknown,citation,SUSPECT PERSON,2017,2
682,unknown,citation,SUSPECT VEHICLE,2016,1
683,unknown,citation,SUSPECT VEHICLE,2017,1
684,unknown,citation,TRAFFIC VIOLATION,2011,79
685,unknown,citation,TRAFFIC VIOLATION,2012,92
686,unknown,citation,TRAFFIC VIOLATION,2013,76
687,unknown,citation,TRAFFIC VIOLATION,2014,191
688,unknown,citation,TRAFFIC VIOLATION,2015,242
689,unknown,citation,TRAFFIC VIOLATION,2016,190
690,unknown,citation,TRAFFIC VIOLATION,2017,241
691,unknown,citation,TRAFFIC VIOLATION,2018,158
692,unknown,warning,CALL FOR SERVICE,2011,1
693,unknown,warning,CALL FOR SERVICE,2012,2
694,unknown,warning,CALL FOR SERVICE,2013,3
695,unknown,warning,CALL FOR SERVICE,2014,6
696,unknown,warning,CALL FOR SERVICE,2015,2
697,unknown,warning,CALL FOR SERVICE,2016,4
698,unknown,warning,CALL FOR SERVICE,2017,4
699,unknown,warning,CALL FOR SERVICE,2018,2
700,unknown,warning,CITIZEN CONTACT,2014,1
701,unknown,warning,CITIZEN CONTACT,2015,1
702,unknown,warning,CITIZEN CONTACT,2016,1
703,unknown,warning,CITIZEN CONTACT,2017,1
704,unknown,warning,CITIZEN CONTACT,2018,1
705,unknown,warning,CRIMINAL VIOLATION,2011,1
706,unknown,warning,CRIMINAL VIOLATION,2015,1
707,unknown,warning,CRIMINAL VIOLATION,2016,1
708,unknown,warning,CRIMINAL VIOLATION,2017,1
709,unknown,warning,CRIMINAL VIOLATION,2018,1
710,unknown,warning,FLAGGED DOWN,2011,2
711,unknown,warning,FLAGGED DOWN,2014,1
712,unknown,warning,FLAGGED DOWN,2016,1
713,unknown,warning,JUVENILE VIOLATION,2018,1
714,unknown,warning,OTHER,2015,2
715,unknown,warning,OTHER,2016,2
716,unknown,warning,OTHER,2017,7
717,unknown,warning,OTHER,2018,2
718,unknown,warning,SUSPECT PERSON,2011,2
719,unknown,warning,SUSPECT PERSON,2012,1
720,unknown,warning,SUSPECT PERSON,2013,1
721,unknown,warning,SUSPECT PERSON,2014,2
722,unknown,warning,SUSPECT PERSON,2015,1
723,unknown,warning,SUSPECT PERSON,2016,1
724,unknown,warning,SUSPECT PERSON,2017,2
725,unknown,warning,SUSPECT VEHICLE,2011,1
726,unknown,warning,SUSPECT VEHICLE,2012,1
727,unknown,warning,SUSPECT VEHICLE,2014,1
728,unknown,warning,SUSPECT VEHICLE,2015,1
729,unknown,warning,SUSPECT VEHICLE,2016,1
730,unknown,warning,TRAFFIC VIOLATION,2011,38
731,unknown,warning,TRAFFIC VIOLATION,2012,80
732,unknown,warning,TRAFFIC VIOLATION,2013,37
733,unknown,warning,TRAFFIC VIOLATION,2014,122
734,unknown,warning,TRAFFIC VIOLATION,2015,192
735,unknown,warning,TRAFFIC VIOLATION,2016,163
736,unknown,warning,TRAFFIC VIOLATION,2017,209
737,unknown,warning,TRAFFIC VIOLATION,2018,115
738,white,arrest,CALL FOR SERVICE,2011,340
739,white,arrest,CALL FOR SERVICE,2012,501
740,white,arrest,CALL FOR SERVICE,2013,544
741,white,arrest,CALL FOR SERVICE,2014,893
742,white,arrest,CALL FOR SERVICE,2015,1059
743,white,arrest,CALL FOR SERVICE,2016,850
744,white,arrest,CALL FOR SERVICE,2017,1011
745,white,arrest,CALL FOR SERVICE,2018,464
746,white,arrest,CITIZEN CONTACT,2011,30
747,white,arrest,CITIZEN CONTACT,2012,50
748,white,arrest,CITIZEN CONTACT,2013,34
749,white,arrest,CITIZEN CONTACT,2014,40
750,white,arrest,CITIZEN CONTACT,2015,55
751,white,arrest,CITIZEN CONTACT,2016,70
752,white,arrest,CITIZEN CONTACT,2017,140
753,white,arrest,CITIZEN CONTACT,2018,40
754,white,arrest,CRIMINAL VIOLATION,2011,508
755,white,arrest,CRIMINAL VIOLATION,2012,889
756,white,arrest,CRIMINAL VIOLATION,2013,895
757,white,arrest,CRIMINAL VIOLATION,2014,659
758,white,arrest,CRIMINAL VIOLATION,2015,786
759,white,arrest,CRIMINAL VIOLATION,2016,1017
760,white,arrest,CRIMINAL VIOLATION,2017,1025
761,white,arrest,CRIMINAL VIOLATION,2018,290
762,white,arrest,FLAGGED DOWN,2011,55
763,white,arrest,FLAGGED DOWN,2012,77
764,white,arrest,FLAGGED DOWN,2013,49
765,white,arrest,FLAGGED DOWN,2014,53
766,white,arrest,FLAGGED DOWN,2015,85
767,white,arrest,FLAGGED DOWN,2016,79
768,white,arrest,FLAGGED DOWN,2017,83
769,white,arrest,FLAGGED DOWN,2018,42
770,white,arrest,JUVENILE VIOLATION,2011,38
771,white,arrest,JUVENILE VIOLATION,2012,40
772,white,arrest,JUVENILE VIOLATION,2013,35
773,white,arrest,JUVENILE VIOLATION,2014,13
774,white,arrest,JUVENILE VIOLATION,2015,3
775,white,arrest,JUVENILE VIOLATION,2016,3
776,white,arrest,JUVENILE VIOLATION,2017,2
777,white,arrest,OTHER,2011,56
778,white,arrest,OTHER,2012,132
779,white,arrest,OTHER,2013,83
780,white,arrest,OTHER,2014,110
781,white,arrest,OTHER,2015,137
782,white,arrest,OTHER,2016,141
783,white,arrest,OTHER,2017,142
784,white,arrest,OTHER,2018,62
785,white,arrest,PRESENT AT CRIME SCENE,2011,3
786,white,arrest,PRESENT AT CRIME SCENE,2012,7
787,white,arrest,PRESENT AT CRIME SCENE,2014,8
788,white,arrest,PRESENT AT CRIME SCENE,2015,9
789,white,arrest,PRESENT AT CRIME SCENE,2016,7
790,white,arrest,PRESENT AT CRIME SCENE,2017,5
791,white,arrest,PRESENT AT CRIME SCENE,2018,2
792,white,arrest,SUSPECT PERSON,2011,244
793,white,arrest,SUSPECT PERSON,2012,426
794,white,arrest,SUSPECT PERSON,2013,330
795,white,arrest,SUSPECT PERSON,2014,293
796,white,arrest,SUSPECT PERSON,2015,479
797,white,arrest,SUSPECT PERSON,2016,324
798,white,arrest,SUSPECT PERSON,2017,380
799,white,arrest,SUSPECT PERSON,2018,101
800,white,arrest,SUSPECT VEHICLE,2011,11
801,white,arrest,SUSPECT VEHICLE,2012,11
802,white,arrest,SUSPECT VEHICLE,2013,11
803,white,arrest,SUSPECT VEHICLE,2014,20
804,white,arrest,SUSPECT VEHICLE,2015,25
805,white,arrest,SUSPECT VEHICLE,2016,16
806,white,arrest,SUSPECT VEHICLE,2017,17
807,white,arrest,SUSPECT VEHICLE,2018,9
808,white,arrest,TRAFFIC VIOLATION,2011,493
809,white,arrest,TRAFFIC VIOLATION,2012,808
810,white,arrest,TRAFFIC VIOLATION,2013,633
811,white,arrest,TRAFFIC VIOLATION,2014,934
812,white,arrest,TRAFFIC VIOLATION,2015,814
813,white,arrest,TRAFFIC VIOLATION,2016,455
814,white,arrest,TRAFFIC VIOLATION,2017,553
815,white,arrest,TRAFFIC VIOLATION,2018,220
816,white,citation,CALL FOR SERVICE,2011,381
817,white,citation,CALL FOR SERVICE,2012,639
818,white,citation,CALL FOR SERVICE,2013,171
819,white,citation,CALL FOR SERVICE,2014,268
820,white,citation,CALL FOR SERVICE,2015,291
821,white,citation,CALL FOR SERVICE,2016,163
822,white,citation,CALL FOR SERVICE,2017,127
823,white,citation,CALL FOR SERVICE,2018,26
824,white,citation,CITIZEN CONTACT,2011,91
825,white,citation,CITIZEN CONTACT,2012,49
826,white,citation,CITIZEN CONTACT,2013,24
827,white,citation,CITIZEN CONTACT,2014,24
828,white,citation,CITIZEN CONTACT,2015,40
829,white,citation,CITIZEN CONTACT,2016,16
830,white,citation,CITIZEN CONTACT,2017,41
831,white,citation,CITIZEN CONTACT,2018,14
832,white,citation,CRIMINAL VIOLATION,2011,397
833,white,citation,CRIMINAL VIOLATION,2012,871
834,white,citation,CRIMINAL VIOLATION,2013,639
835,white,citation,CRIMINAL VIOLATION,2014,603
836,white,citation,CRIMINAL VIOLATION,2015,333
837,white,citation,CRIMINAL VIOLATION,2016,294
838,white,citation,CRIMINAL VIOLATION,2017,269
839,white,citation,CRIMINAL VIOLATION,2018,33
840,white,citation,FLAGGED DOWN,2011,25
841,white,citation,FLAGGED DOWN,2012,27
842,white,citation,FLAGGED DOWN,2013,17
843,white,citation,FLAGGED DOWN,2014,42
844,white,citation,FLAGGED DOWN,2015,18
845,white,citation,FLAGGED DOWN,2016,27
846,white,citation,FLAGGED DOWN,2017,16
847,white,citation,FLAGGED DOWN,2018,5
848,white,citation,JUVENILE VIOLATION,2011,5
849,white,citation,JUVENILE VIOLATION,2017,2
850,white,citation,OTHER,2011,52
851,white,citation,OTHER,2012,119
852,white,citation,OTHER,2013,41
853,white,citation,OTHER,2014,48
854,white,citation,OTHER,2015,79
855,white,citation,OTHER,2016,110
856,white,citation,OTHER,2017,81
857,white,citation,OTHER,2018,9
858,white,citation,PRESENT AT CRIME SCENE,2011,4
859,white,citation,PRESENT AT CRIME SCENE,2014,7
860,white,citation,PRESENT AT CRIME SCENE,2015,3
861,white,citation,PRESENT AT CRIME SCENE,2016,3
862,white,citation,SUSPECT PERSON,2011,118
863,white,citation,SUSPECT PERSON,2012,280
864,white,citation,SUSPECT PERSON,2013,242
865,white,citation,SUSPECT PERSON,2014,213
866,white,citation,SUSPECT PERSON,2015,326
867,white,citation,SUSPECT PERSON,2016,210
868,white,citation,SUSPECT PERSON,2017,147
869,white,citation,SUSPECT PERSON,2018,9
870,white,citation,SUSPECT VEHICLE,2011,12
871,white,citation,SUSPECT VEHICLE,2012,16
872,white,citation,SUSPECT VEHICLE,2013,11
873,white,citation,SUSPECT VEHICLE,2014,5
874,white,citation,SUSPECT VEHICLE,2015,4
875,white,citation,SUSPECT VEHICLE,2016,12
876,white,citation,SUSPECT VEHICLE,2017,24
877,white,citation,SUSPECT VEHICLE,2018,8
878,white,citation,TRAFFIC VIOLATION,2011,3248
879,white,citation,TRAFFIC VIOLATION,2012,3527
880,white,citation,TRAFFIC VIOLATION,2013,2372
881,white,citation,TRAFFIC VIOLATION,2014,4466
882,white,citation,TRAFFIC VIOLATION,2015,4644
883,white,citation,TRAFFIC VIOLATION,2016,3151
884,white,citation,TRAFFIC VIOLATION,2017,3072
885,white,citation,TRAFFIC VIOLATION,2018,1866
886,white,warning,CALL FOR SERVICE,2011,170
887,white,warning,CALL FOR SERVICE,2012,223
888,white,warning,CALL FOR SERVICE,2013,145
889,white,warning,CALL FOR SERVICE,2014,292
890,white,warning,CALL FOR SERVICE,2015,445
891,white,warning,CALL FOR SERVICE,2016,251
892,white,warning,CALL FOR SERVICE,2017,253
893,white,warning,CALL FOR SERVICE,2018,136
894,white,warning,CITIZEN CONTACT,2011,79
895,white,warning,CITIZEN CONTACT,2012,61
896,white,warning,CITIZEN CONTACT,2013,42
897,white,warning,CITIZEN CONTACT,2014,71
898,white,warning,CITIZEN CONTACT,2015,97
899,white,warning,CITIZEN CONTACT,2016,63
900,white,warning,CITIZEN CONTACT,2017,63
901,white,warning,CITIZEN CONTACT,2018,35
902,white,warning,CRIMINAL VIOLATION,2011,132
903,white,warning,CRIMINAL VIOLATION,2012,169
904,white,warning,CRIMINAL VIOLATION,2013,124
905,white,warning,CRIMINAL VIOLATION,2014,198
906,white,warning,CRIMINAL VIOLATION,2015,246
907,white,warning,CRIMINAL VIOLATION,2016,108
908,white,warning,CRIMINAL VIOLATION,2017,68
909,white,warning,CRIMINAL VIOLATION,2018,28
910,white,warning,FLAGGED DOWN,2011,85
911,white,warning,FLAGGED DOWN,2012,61
912,white,warning,FLAGGED DOWN,2013,26
913,white,warning,FLAGGED DOWN,2014,72
914,white,warning,FLAGGED DOWN,2015,57
915,white,warning,FLAGGED DOWN,2016,33
916,white,warning,FLAGGED DOWN,2017,33
917,white,warning,FLAGGED DOWN,2018,11
918,white,warning,JUVENILE VIOLATION,2012,3
919,white,warning,JUVENILE VIOLATION,2015,1
920,white,warning,JUVENILE VIOLATION,2017,1
921,white,warning,OTHER,2011,103
922,white,warning,OTHER,2012,82
923,white,warning,OTHER,2013,48
924,white,warning,OTHER,2014,85
925,white,warning,OTHER,2015,199
926,white,warning,OTHER,2016,73
927,white,warning,OTHER,2017,81
928,white,warning,OTHER,2018,20
929,white,warning,PRESENT AT CRIME SCENE,2011,3
930,white,warning,PRESENT AT CRIME SCENE,2016,3
931,white,warning,PRESENT AT CRIME SCENE,2017,1
932,white,warning,SUSPECT PERSON,2011,377
933,white,warning,SUSPECT PERSON,2012,446
934,white,warning,SUSPECT PERSON,2013,227
935,white,warning,SUSPECT PERSON,2014,408
936,white,warning,SUSPECT PERSON,2015,479
937,white,warning,SUSPECT PERSON,2016,200
938,white,warning,SUSPECT PERSON,2017,245
939,white,warning,SUSPECT PERSON,2018,100
940,white,warning,SUSPECT VEHICLE,2011,82
941,white,warning,SUSPECT VEHICLE,2012,52
942,white,warning,SUSPECT VEHICLE,2013,22
943,white,warning,SUSPECT VEHICLE,2014,31
944,white,warning,SUSPECT VEHICLE,2015,23
945,white,warning,SUSPECT VEHICLE,2016,21
946,white,warning,SUSPECT VEHICLE,2017,34
947,white,warning,SUSPECT VEHICLE,2018,20
948,white,warning,TRAFFIC VIOLATION,2011,2864
949,white,warning,TRAFFIC VIOLATION,2012,3517
950,white,warning,TRAFFIC VIOLATION,2013,1529
951,white,warning,TRAFFIC VIOLATION,2014,3411
952,white,warning,TRAFFIC VIOLATION,2015,4968
953,white,warning,TRAFFIC VIOLATION,2016,4055
954,white,warning,TRAFFIC VIOLATION,2017,4115
955,white,warning,TRAFFIC VIOLATION,2018,2030